390.0,  -0.93379,  -1.04790,  -0.13385
390.1,  -0.93284,  -1.04679,  -0.13310
390.2,  -0.93190,  -1.04568,  -0.13233
390.3,  -0.93096,  -1.04457,  -0.13156
390.4,  -0.93003,  -1.04346,  -0.13079
390.5,  -0.92910,  -1.04236,  -0.13000
390.6,  -0.92817,  -1.04126,  -0.12921
390.7,  -0.92726,  -1.04016,  -0.12842
390.8,  -0.92634,  -1.03906,  -0.12762
390.9,  -0.92544,  -1.03796,  -0.12681
391.0,  -0.92453,  -1.03687,  -0.12600
391.1,  -0.92364,  -1.03578,  -0.12519
391.2,  -0.92275,  -1.03470,  -0.12436
391.3,  -0.92187,  -1.03361,  -0.12354
391.4,  -0.92099,  -1.03253,  -0.12271
391.5,  -0.92012,  -1.03146,  -0.12187
391.6,  -0.91926,  -1.03039,  -0.12103
391.7,  -0.91840,  -1.02932,  -0.12018
391.8,  -0.91755,  -1.02825,  -0.11933
391.9,  -0.91671,  -1.02719,  -0.11848
392.0,  -0.91588,  -1.02614,  -0.11762
392.1,  -0.91505,  -1.02509,  -0.11676
392.2,  -0.91423,  -1.02404,  -0.11589
392.3,  -0.91341,  -1.02300,  -0.11502
392.4,  -0.91261,  -1.02197,  -0.11415
392.5,  -0.91181,  -1.02094,  -0.11327
392.6,  -0.91102,  -1.01991,  -0.11239
392.7,  -0.91024,  -1.01889,  -0.11151
392.8,  -0.90947,  -1.01788,  -0.11063
392.9,  -0.90870,  -1.01687,  -0.10974
393.0,  -0.90794,  -1.01587,  -0.10885
393.1,  -0.90719,  -1.01487,  -0.10796
393.2,  -0.90646,  -1.01388,  -0.10706
393.3,  -0.90572,  -1.01290,  -0.10616
393.4,  -0.90500,  -1.01193,  -0.10527
393.5,  -0.90429,  -1.01096,  -0.10437
393.6,  -0.90359,  -1.01000,  -0.10346
393.7,  -0.90289,  -1.00904,  -0.10256
393.8,  -0.90221,  -1.00809,  -0.10165
393.9,  -0.90153,  -1.00715,  -0.10075
394.0,  -0.90087,  -1.00622,  -0.09984
394.1,  -0.90021,  -1.00530,  -0.09893
394.2,  -0.89956,  -1.00438,  -0.09803
394.3,  -0.89893,  -1.00348,  -0.09712
394.4,  -0.89830,  -1.00258,  -0.09621
394.5,  -0.89769,  -1.00169,  -0.09530
394.6,  -0.89708,  -1.00080,  -0.09439
394.7,  -0.89649,  -0.99993,  -0.09348
394.8,  -0.89590,  -0.99907,  -0.09257
394.9,  -0.89533,  -0.99821,  -0.09166
395.0,  -0.89477,  -0.99737,  -0.09075
395.1,  -0.89422,  -0.99653,  -0.08985
395.2,  -0.89368,  -0.99570,  -0.08894
395.3,  -0.89315,  -0.99489,  -0.08803
395.4,  -0.89263,  -0.99408,  -0.08713
395.5,  -0.89213,  -0.99329,  -0.08623
395.6,  -0.89164,  -0.99250,  -0.08533
395.7,  -0.89115,  -0.99172,  -0.08443
395.8,  -0.89068,  -0.99096,  -0.08353
395.9,  -0.89023,  -0.99021,  -0.08264
396.0,  -0.88978,  -0.98946,  -0.08174
396.1,  -0.88935,  -0.98873,  -0.08085
396.2,  -0.88893,  -0.98801,  -0.07997
396.3,  -0.88852,  -0.98730,  -0.07908
396.4,  -0.88813,  -0.98661,  -0.07820
396.5,  -0.88774,  -0.98592,  -0.07732
396.6,  -0.88737,  -0.98525,  -0.07644
396.7,  -0.88702,  -0.98459,  -0.07557
396.8,  -0.88668,  -0.98394,  -0.07470
396.9,  -0.88635,  -0.98331,  -0.07384
397.0,  -0.88603,  -0.98268,  -0.07298
397.1,  -0.88573,  -0.98207,  -0.07212
397.2,  -0.88544,  -0.98147,  -0.07127
397.3,  -0.88516,  -0.98089,  -0.07042
397.4,  -0.88490,  -0.98032,  -0.06958
397.5,  -0.88466,  -0.97976,  -0.06874
397.6,  -0.88443,  -0.97922,  -0.06791
397.7,  -0.88421,  -0.97869,  -0.06708
397.8,  -0.88400,  -0.97817,  -0.06626
397.9,  -0.88382,  -0.97767,  -0.06544
398.0,  -0.88364,  -0.97719,  -0.06463
398.1,  -0.88348,  -0.97671,  -0.06383
398.2,  -0.88334,  -0.97625,  -0.06303
398.3,  -0.88321,  -0.97581,  -0.06223
398.4,  -0.88310,  -0.97538,  -0.06145
398.5,  -0.88300,  -0.97497,  -0.06067
398.6,  -0.88292,  -0.97457,  -0.05990
398.7,  -0.88285,  -0.97419,  -0.05913
398.8,  -0.88280,  -0.97383,  -0.05837
398.9,  -0.88276,  -0.97347,  -0.05762
399.0,  -0.88274,  -0.97314,  -0.05688
399.1,  -0.88274,  -0.97282,  -0.05614
399.2,  -0.88275,  -0.97252,  -0.05541
399.3,  -0.88278,  -0.97223,  -0.05469
399.4,  -0.88283,  -0.97197,  -0.05398
399.5,  -0.88289,  -0.97171,  -0.05328
399.6,  -0.88297,  -0.97148,  -0.05259
399.7,  -0.88307,  -0.97126,  -0.05190
399.8,  -0.88318,  -0.97106,  -0.05123
399.9,  -0.88331,  -0.97088,  -0.05056
400.0,  -0.88346,  -0.97071,  -0.04990
400.1,  -0.88363,  -0.97056,  -0.04925
400.2,  -0.88381,  -0.97043,  -0.04862
400.3,  -0.88401,  -0.97032,  -0.04799
400.4,  -0.88422,  -0.97022,  -0.04737
400.5,  -0.88445,  -0.97014,  -0.04676
400.6,  -0.88469,  -0.97007,  -0.04615
400.7,  -0.88495,  -0.97002,  -0.04556
400.8,  -0.88522,  -0.96998,  -0.04498
400.9,  -0.88551,  -0.96996,  -0.04440
401.0,  -0.88581,  -0.96995,  -0.04383
401.1,  -0.88611,  -0.96995,  -0.04327
401.2,  -0.88643,  -0.96996,  -0.04272
401.3,  -0.88677,  -0.96999,  -0.04217
401.4,  -0.88711,  -0.97003,  -0.04164
401.5,  -0.88746,  -0.97007,  -0.04111
401.6,  -0.88782,  -0.97013,  -0.04058
401.7,  -0.88819,  -0.97020,  -0.04007
401.8,  -0.88856,  -0.97027,  -0.03956
401.9,  -0.88895,  -0.97035,  -0.03905
402.0,  -0.88934,  -0.97044,  -0.03856
402.1,  -0.88974,  -0.97054,  -0.03807
402.2,  -0.89014,  -0.97065,  -0.03758
402.3,  -0.89055,  -0.97076,  -0.03711
402.4,  -0.89097,  -0.97088,  -0.03663
402.5,  -0.89138,  -0.97100,  -0.03617
402.6,  -0.89181,  -0.97113,  -0.03570
402.7,  -0.89223,  -0.97126,  -0.03525
402.8,  -0.89266,  -0.97139,  -0.03480
